Neighborhood,2015,2016,2017,2018,2019
Boston,"684,379","684,379","684,379","684,379","684,379"
Allston,"19,261","19,261","19,261","19,261","19,261"
Back Bay,"17,783","17,783","17,783","17,783","17,783"
Beacon Hill,"9,648","9,648","9,648","9,648","9,648"
Brighton,"55,297","55,297","55,297","55,297","55,297"
Charlestown,"19,890","19,890","19,890","19,890","19,890"
Dorchester,"126,909","126,909","126,909","126,909","126,909"
Downtown,"18,306","18,306","18,306","18,306","18,306"
East Boston,"47,263","47,263","47,263","47,263","47,263"
Fenway,"33,489","33,489","33,489","33,489","33,489"
Hyde Park,"38,924","38,924","38,924","38,924","38,924"
Jamaica Plain,"40,867","40,867","40,867","40,867","40,867"
Longwood,"5,351","5,351","5,351","5,351","5,351"
Mattapan,"26,659","26,659","26,659","26,659","26,659"
Mission Hill,"17,386","17,386","17,386","17,386","17,386"
North End,"8,749","8,749","8,749","8,749","8,749"
Roslindale,"30,021","30,021","30,021","30,021","30,021"
Roxbury,"54,161","54,161","54,161","54,161","54,161"
South Boston,"36,772","36,772","36,772","36,772","36,772"
South Boston Waterfront,"4,403","4,403","4,403","4,403","4,403"
South End,"32,571","32,571","32,571","32,571","32,571"
West End,"6,619","6,619","6,619","6,619","6,619"
West Roxbury,"33,526","33,526","33,526","33,526","33,526"
